2025-12-24 17:00:08,manager_li,LOGIN,用户登录成功
2025-12-24 17:05:36,manager_li,START_TASK,提交了 1 个文件
2025-12-24 17:08:20,manager_li,START_TASK,提交了 1 个文件
2025-12-24 17:08:26,manager_li,LOGIN,用户登录成功
2025-12-24 17:08:33,manager_li,START_TASK,提交了 1 个文件
2025-12-24 17:10:41,manager_li,LOGIN,用户登录成功
2025-12-24 17:10:51,manager_li,START_TASK,提交了 1 个文件
2025-12-24 17:14:58,manager_li,LOGIN,用户登录成功
2025-12-24 17:15:08,manager_li,START_TASK,提交了 1 个文件
2025-12-24 17:25:35,manager_li,LOGIN,用户登录成功
2025-12-25 09:33:30,manager_li,LOGIN,用户登录成功
2025-12-25 09:33:40,manager_li,START_TASK,提交了 1 个文件
2025-12-25 09:36:57,manager_li,LOGIN,用户登录成功
2025-12-25 09:37:04,manager_li,START_TASK,提交了 1 个文件
2025-12-25 09:45:41,manager_li,LOGIN,用户登录成功
2025-12-25 09:45:48,manager_li,START_TASK,提交了 1 个文件
2025-12-25 10:39:13,manager_li,LOGIN,用户登录成功
2025-12-25 10:39:22,manager_li,START_TASK,提交了 1 个文件
2025-12-25 11:00:02,manager_li,LOGIN,用户登录成功
2025-12-25 11:00:10,manager_li,START_TASK,提交了 1 个文件
